Target_Location,Name,Cuisine,Rating,Cost_for_Two,URL
Mathura,Vijay Food - Veg & Non Veg,"North Indian, Kebab, Chinese",-,"₹1,000 for two",https://www.zomato.com/mathura/vijay-food-veg-non-veg-mathura-locality/info
Mathura,Chatkara Fast Food,N/A,3.5,₹250 for two,https://www.zomato.com/mathura/chatkara-fast-food-1-mathura-locality/info
Mathura,Goyal Cakes And Baker,N/A,3.6,₹150 for two,https://www.zomato.com/mathura/goyal-cakes-and-baker-mathura-locality/info
Mathura,Le Chaska Chaat,"South Indian, Street Food, Chinese, Maharashtrian, North Indian",4.0,₹300 for two,https://www.zomato.com/mathura/le-chaska-chaat-mathura-locality/info
Mathura,Majestic's Pizza Pro,"Pizza, Burger, Fast Food",3.3,₹600 for two,https://www.zomato.com/mathura/majestics-pizza-pro-1-mathura-locality/info
Mathura,Dawat Restaurant,"North Indian, Chinese, Street Food, Beverages",2.8,₹450 for two,https://www.zomato.com/mathura/dawat-restaurant-mathura-locality/info
Mathura,The Khandooz Cafe,"Chinese, Fast Food, Beverages, Shake, Burger, Momos",4.0,₹350 for two,https://www.zomato.com/mathura/the-khandooz-cafe-mathura-locality/info
Mathura,SI & Sa Food Cafe,"Chinese, Momos, Shake",3.8,₹200 for two,https://www.zomato.com/mathura/si-sa-food-cafe-mathura-locality/info
Mathura,Chill 'n' Grill,"Fast Food, Pizza, Burger, Momos, Street Food, Beverages",3.9,₹250 for two,https://www.zomato.com/mathura/chill-n-grill-mathura-locality/info
Mathura,Uptowns Mumbai Cafe,"South Indian, Street Food, Chinese, Momos, Shake, Beverages",3.3,₹400 for two,https://www.zomato.com/mathura/uptowns-mumbai-cafe-mathura-locality/info
Mathura,Bansal Foods,N/A,3.9,₹250 for two,https://www.zomato.com/mathura/bansal-foods-mathura-locality/info
Mathura,Ice Spice,"Beverages, Chinese, Shake, North Indian, South Indian",3.9,₹300 for two,https://www.zomato.com/mathura/ice-spice-1-mathura-locality/info
Mathura,Savage Cafe And Bakery,"Chinese, Sandwich, Burger, Pizza, Pasta, Beverages",3.4,₹300 for two,https://www.zomato.com/mathura/savage-cafe-and-bakery-mathura-locality/info
Mathura,Hotel Taj,"North Indian, Mughlai, Biryani",-,₹800 for two,https://www.zomato.com/mathura/hotel-taj-mathura-locality/info
Mathura,Two21 Cafe,"Cafe, Burger, Chinese, Coffee, Desserts, French, Shake",4.4,₹500 for two,https://www.zomato.com/mathura/two21-cafe-mathura-locality/info
Mathura,Anandvan,"North Indian, Fast Food",3.7,₹700 for two,https://www.zomato.com/mathura/anandvan-mathura-locality/info
Mathura,Cozy Cafe,"Fast Food, Beverages",3.9,₹350 for two,https://www.zomato.com/mathura/cozy-cafe-mathura-locality/info
Mathura,Punjabi Restaurant,N/A,3.8,₹200 for two,https://www.zomato.com/mathura/punjabi-restaurant-mathura-locality/info
Mathura,Raghunath Das Prabhudayal Mithai wale,"Mithai, Fast Food, Beverages",3.9,₹150 for two,https://www.zomato.com/mathura/raghunath-das-prabhudayal-mithai-wale-mathura-locality/info
Mathura,1 More Slice Pizza,"Pizza, Burger, Fast Food, Beverages",3.7,₹300 for two,https://www.zomato.com/mathura/1-more-slice-pizza-mathura-locality/info
Mathura,Brij Bites,"North Indian, South Indian",3.9,₹150 for two,https://www.zomato.com/mathura/brij-bites-mathura-locality/info
Mathura,Charu Confectionery,"Fast Food, Bakery",3.9,₹200 for two,https://www.zomato.com/mathura/charu-confectionery-mathura-locality/info
Mathura,Planet of kids,"Fast Food, Street Food, Tea, Coffee, Desserts, Ice Cream",-,₹450 for two,https://www.zomato.com/mathura/planet-of-kids-1-mathura-locality/info
Mathura,Zoca Cafe & Family Restaurant,"North Indian, Italian, Oriental, Chinese, Fast Food, Pizza, Sandwich, Salad",-,"₹1,000 for two",https://www.zomato.com/mathura/zoca-cafe-family-restaurant-mathura-locality/info
Mathura,Amritsari Rasoi,N/A,3.4,₹100 for two,https://www.zomato.com/mathura/amritsari-rasoi-mathura-locality/info
Mathura,New Aahar Restaurant,"North Indian, Chinese",3.5,₹250 for two,https://www.zomato.com/mathura/new-aahar-restaurant-1-mathura-locality/info
Mathura,Chai Sutta Bar,"Fast Food, Sandwich, Beverages, Tea",3.9,₹300 for two,https://www.zomato.com/mathura/chai-sutta-bar-1-mathura-locality/info
Mathura,The Midnight Cafe And Restaurant,"Sandwich, Wraps, Pasta, Pizza, Chinese, Street Food, Shake, Beverages",-,₹300 for two,https://www.zomato.com/mathura/the-midnight-cafe-and-restaurant-mathura-locality/info
Mathura,Muskan Guest House,"South Indian, North Indian, Fast Food, Chinese",4.0,₹250 for two,https://www.zomato.com/mathura/muskan-guest-house-mathura-locality/info
Mathura,Momomia - Love In Every Bite,"Chinese, Fast Food, Shake, Beverages, Street Food, Momos",3.0,₹250 for two,https://www.zomato.com/mathura/momomia-love-in-every-bite-mathura-locality/info
Mathura,Tulsi Restaurent,"North Indian, Chettinad, Fast Food",3.4,₹300 for two,https://www.zomato.com/mathura/tulsi-restaurent-mathura-locality/info
Mathura,Cyber Cafe Restaurant,"North Indian, South Indian",3.5,₹100 for two,https://www.zomato.com/mathura/cyber-cafe-restaurant-mathura-locality/info
Mathura,Big Bills Foods,"North Indian, Fast Food, Pizza, Bakery, Beverages, Continental",3.8,₹300 for two,https://www.zomato.com/mathura/big-bills-foods-mathura-locality/info
Mathura,Wah Mathura,"North Indian, Chinese",3.8,₹300 for two,https://www.zomato.com/mathura/wah-mathura-mathura-locality/info
Mathura,The Food Garage,"Continental, Pizza, American, Fast Food",3.9,₹250 for two,https://www.zomato.com/mathura/the-food-garage-mathura-locality/info
Mathura,Rolls Mania & Tea Point,"Rolls, Tea, Street Food",3.3,₹100 for two,https://www.zomato.com/mathura/rolls-mania-tea-point-mathura-locality/info
Mathura,The Mathura Cafe,"Pizza, Burger, Sandwich, Wraps, Maharashtrian",3.9,₹150 for two,https://www.zomato.com/mathura/the-mathura-cafe-mathura-locality/info
Mathura,Junoon Pizza,"Pizza, Beverages",3.3,₹500 for two,https://www.zomato.com/mathura/junoon-pizza-1-mathura-locality/info
Mathura,Wah JI Wah Restaurant,"Chinese, North Indian",3.2,₹350 for two,https://www.zomato.com/mathura/wah-ji-wah-restaurant-mathura-locality/info
Mathura,Aman Chicken And Fish Fry Restaurant,"North Indian, Mughlai",2.7,₹350 for two,https://www.zomato.com/mathura/aman-chicken-and-fish-fry-restaurant-mathura-locality/info
Mathura,Galaxy Cafe & Restro,"North Indian, Chinese, Pizza, Sandwich, Momos, Fast Food, Shake, Beverages",-,₹400 for two,https://www.zomato.com/mathura/galaxy-cafe-restro-1-mathura-locality/info
Mathura,Cafe GF,"Fast Food, Burger, Sandwich",3.9,₹250 for two,https://www.zomato.com/mathura/cafe-gf-mathura-locality/info
Mathura,Mala Guest House And Restaurant,"North Indian, Street Food, Coffee, Desserts",3.9,₹300 for two,https://www.zomato.com/mathura/mala-guest-house-and-restaurant-mathura-locality/info
Mathura,The Foodies Hut,"Fast Food, Pizza, Street Food, Chinese, Sandwich",3.9,₹350 for two,https://www.zomato.com/mathura/the-foodies-hut-mathura-locality/info
Mathura,Busy Beans Cafe,"Rolls, Pizza, Sandwich, Pasta, Fast Food, Coffee, Shake, Beverages",3.8,₹400 for two,https://www.zomato.com/mathura/busy-beans-cafe-mathura-locality/info
